rank	support	file	pattern
152	25	152_amb_l56_kyfunc_l34_ruf_l12_ruf_l34.txt	AMB_L56 KYFUNC_L34 RUF_L12 RUF_L34
153	25	153_ky_l78_kyfunc_l56_ruf_l12.txt	KY_L78 KYFUNC_L56 RUF_L12
154	25	154_amb_l34_hyph_alt_amb_l34.txt	AMB_L34 HYPH ALT=или AMB_L34
155	25	155_amb_l56_kyfunc_l56_ruf_l12_amb_l78.txt	AMB_L56 KYFUNC_L56 RUF_L12 AMB_L78
156	25	156_kyfunc_l56_ruf_l12_amb_l56_amb_l56.txt	KYFUNC_L56 RUF_L12 AMB_L56 AMB_L56
157	25	157_kyfunc_l56_amb_l34_ruf_l12.txt	KYFUNC_L56 AMB_L34 RUF_L12
158	25	158_alt_ky_l9p.txt	ALT=или KY_L9P
159	25	159_alt_ru_l78.txt	ALT=или RU_L78
160	25	160_kyfunc_l56_ky_l56_sfx.txt	KYFUNC_L56 KY_L56_SFX=ып
161	25	161_kyfunc_l56_ru_l34.txt	KYFUNC_L56 RU_L34
162	25	162_ky_l34_sfx_kyfunc_l56.txt	KY_L34_SFX=үп KYFUNC_L56
163	25	163_ky_l9p_sfx_kyfunc_l56.txt	KY_L9P_SFX=ып KYFUNC_L56
